bib,loc
Cwm_app,98478
Cwm_brd,25331
Cwm_cot,90631
Cwm_cot_dw_1,17790
Cwm_cot_dw_3,20103
Cwm_cpt,15104
Cwm_ctr,31572
Cwm_edi,13975
Cwm_fdb,47766
Cwm_liq,78348
Cwm_liq_dw_1,17176
Cwm_noe,54218
Cwm_org,18579
Cwm_pai,10979
Cwm_pai_dw,10162
Cwm_par_dw,4881
Cwm_prev_dw,31911
Cwm_prt,99696
Cwm_pub,13495
Cwm_req,28794
Cwm_sta,6151
Cwm_trs,18247
Cwm_trt,15237
Cwm_txt_dw,46168
Cwm_txt_uo,326569
cwm_abc,21839
cwm_abc_dw,537
cwm_abc_uo,49546
cwm_app_dw,5224
cwm_brd_dw_1,5024
cwm_brd_dw_2,8442
cwm_brd_uo,29759
cwm_corb,1366
cwm_cot_dw_2,10811
cwm_cot_uo,126546
cwm_cpt_dw_1,4155
cwm_cpt_dw_2,1245
cwm_cpt_dw_3,3831
cwm_cpt_dw_4,7378
cwm_cpt_uo,33217
cwm_ctr_dw_1,8295
cwm_ctr_dw_2,5800
cwm_ctr_uo,33962
cwm_dwh,6801
cwm_dwh_dw,18686
cwm_dwh_uo,87585
cwm_edi_dw,9492
cwm_edi_uo,57357
cwm_exp,308
cwm_exp_dw,2120
cwm_exp_uo,5939
cwm_gui,1432
cwm_liq_2,43720
cwm_liq_dw_2,26460
cwm_liq_maj,10481
cwm_liq_uo,78314
cwm_mdb,2906
cwm_net,49441
cwm_net_dw,9734
cwm_net_uo,3464
cwm_noe_dw_1,17812
cwm_noe_dw_2,12680
cwm_noe_irm,41547
cwm_noe_lec,38586
cwm_noe_liq,51400
cwm_noe_uo,17530
cwm_org_dw,4341
cwm_org_uo,16651
cwm_output,750
cwm_pai_uo,158769
cwm_par,244
cwm_par_uo,30720
cwm_prev,38597
cwm_prev_uo,116301
cwm_prt_dw,24187
cwm_prt_uo,70514
cwm_pub_dw_2,4011
cwm_pub_uo,8405
cwm_res,20
cwm_res_dw,157
cwm_res_uo,11768
cwm_soc,11291
cwm_soc_dw,3935
cwm_soc_uo,39257
cwm_sta_cot_dw_1,10236
cwm_sta_cpt_dw,3786
cwm_sta_liq_dw_1,7676
cwm_sta_liq_dw_2,4688
cwm_sta_lst_dw,23065
cwm_sta_prev_dw_1,5093
cwm_sta_prev_dw_2,27743
cwm_sta_prt_dw_1,3222
cwm_sta_prt_dw_2,4331
cwm_sta_sp_dw,3315
cwm_sta_uo,8605
cwm_tmp,381
cwm_tmp_dw,7067
cwm_tmp_uo,24224
cwm_tool,38930
cwm_tool_dw,35766
cwm_tool_uo,102819
cwm_tools_dev,4530
cwm_tpy,4660
cwm_tpy_dw,10710
cwm_tpy_uo,41094
cwm_trs_dw,3998
cwm_trs_uo,4023
cwm_trt_dw,10446
cwm_trt_uo,60911
cwm_tuc,89
cwm_tuc_dw,219
cwm_tuc_uo,511
cwm_txt,143766
cwm_usr,435
cwm_xxx_dw,16129
cwm_xxx_dw_2,3159
cwm_xxx_dw_3,10214
